SENT_ID,SENT_CONTENT,PHEN_ID,PHEN,WIKI_SUMMARY,WIKI_URL,WIKI_SEARCH_CONTENT
0,,0,,,,
1, Airfares have eased from last years highs,1,Airfares ,,https://en.wikipedia.org/wiki/Fare,Fare
1, Airfares have eased from last years highs,1,Airfares ,,https://en.wikipedia.org/wiki/Airfare,Airfare
1, Airfares have eased from last years highs,1,Airfares ,,https://en.wikipedia.org/wiki/Price_floor,Price floor
1, Airfares have eased from last years highs,1,Airfares ,,https://en.wikipedia.org/wiki/Transparent_Airfares_Act_of_2014,Transparent Airfares Act of 2014
1, Airfares have eased from last years highs,1,Airfares ,,https://en.wikipedia.org/wiki/Economy_class,Economy class
1, Airfares have eased from last years highs,1,Airfares ,,https://en.wikipedia.org/wiki/Low-cost_carrier,Low-cost carrier
1, Airfares have eased from last years highs,1,Airfares ,,https://en.wikipedia.org/wiki/Mobile_Regional_Airport,Mobile Regional Airport
1, Airfares have eased from last years highs,1,Airfares ,,https://en.wikipedia.org/wiki/Steve_Huffman,Steve Huffman
1, Airfares have eased from last years highs,1,Airfares ,,https://en.wikipedia.org/wiki/Queensland,Queensland
1, Airfares have eased from last years highs,1,Airfares ,,https://en.wikipedia.org/wiki/Puerto_Rico,Puerto Rico
1, Airfares have eased from last years highs,3,eased from last years highs,Quantitative easing (QE) is a monetary policy action where a central bank purchases predetermined amounts of government bonds or other financial assets in order to stimulate economic activity. Quantitative easing is a novel form of monetary policy that came into wide application after the financial crisis of 2007-2008.,https://en.wikipedia.org/wiki/Quantitative_easing,Quantitative easing
1, Airfares have eased from last years highs,3,eased from last years highs,,https://en.wikipedia.org/wiki/The_Last_Supper_(Leonardo),The Last Supper (Leonardo)
1, Airfares have eased from last years highs,3,eased from last years highs,,https://en.wikipedia.org/wiki/List_of_Tales_from_the_Darkside_episodes,List of Tales from the Darkside episodes
1, Airfares have eased from last years highs,3,eased from last years highs,,https://en.wikipedia.org/wiki/Seven_Years'_War,Seven Years' War
1, Airfares have eased from last years highs,3,eased from last years highs,,https://en.wikipedia.org/wiki/The_Last_Airbender,The Last Airbender
1, Airfares have eased from last years highs,3,eased from last years highs,,https://en.wikipedia.org/wiki/Last_Judgment,Last Judgment
1, Airfares have eased from last years highs,3,eased from last years highs,,https://en.wikipedia.org/wiki/The_Last_Judgment_(Michelangelo),The Last Judgment (Michelangelo)
1, Airfares have eased from last years highs,3,eased from last years highs,,https://en.wikipedia.org/wiki/The_Last_Detail,The Last Detail
1, Airfares have eased from last years highs,3,eased from last years highs,,https://en.wikipedia.org/wiki/Achilles_Last_Stand,Achilles Last Stand
1, Airfares have eased from last years highs,3,eased from last years highs,,https://en.wikipedia.org/wiki/Last_Week_Tonight_with_John_Oliver,Last Week Tonight with John Oliver
2, Now a resurgence in jet-fuel prices is threatening to push them higher again,10,threatening,,https://en.wikipedia.org/wiki/Threat,Threat
